example_id,text,context,true_label,num_models_correct,num_models_wrong,num_FN,num_FP,models_wrong,models_correct,pred_tfidf_logreg_context_original,pred_tfidf_logreg_context_normalized,pred_tfidf_logreg_text_original,pred_tfidf_logreg_text_normalized,pred_tfidf_svm_context_original,pred_tfidf_svm_context_normalized,pred_tfidf_svm_text_original,pred_tfidf_svm_text_normalized,pred_xlmr_finetuned_context,pred_xlmr_finetuned_no_context,pred_deberta_finetuned_context,pred_deberta_finetuned_no_context,pred_gemma2_9b_context,pred_gemma2_9b_no_context,pred_qwen2.5_14b_context,pred_qwen2.5_14b_no_context,pred_phi3_medium_context,pred_phi3_medium_no_context
27,"RACHEL: All right, let's do it.","MONICA: Rachel, I have not missed one question the whole game. I own this game! Look at my hand. | RACHEL: Why? Do you have the answers written on there? | MONICA: No! Steady as a rock! Now, are you with me.",0,18,0,0,0,None,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,RACHEL: You're gonna have to tell me how you did that.,"PERSON: Oh good, you're here. Yeah, and I was worried that it was going to be uncomfortable. | RACHEL: I know Mona, just hear me out. First of all, I'm so sorry about my father yelling at you, but I heard you totally held your own.",0,17,1,0,1,qwen2.5_14b_context,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,"AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.","SHELDON: All right. | SHELDON: I'm no stranger to a little gray matter. | SHELDON: Locus coeruleus. | SHELDON: Locus coeruleus. | AMY: You're getting warmer-- it is, indeed, in the brain.",1,16,2,2,0,"xlmr_finetuned_no_context, deberta_finetuned_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
16,"CHANDLER: If that doesn't keep kids in school, what will?","RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.",1,16,2,2,0,"tfidf_svm_context_original, xlmr_finetuned_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
19,CHANDLER: Oh tons. I am quite the woodsman.,"CHANDLER: Okay, lets find these birds. | JOEY: Wait wait, you hear that? There are in the table? | CHANDLER: That can't be good | JOEY: We have to get them out of there | CHANDLER: how? | JOEY: Maybe we can lure them out, you know of any bird calls?",1,16,2,2,0,"xlmr_finetuned_context, deberta_finetuned_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
10,LEONARD: What did you mean when you said you were going to miss me?,"PENNY: What time is it? | LEONARD: It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.",0,15,3,0,3,"deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
24,PHOEBE: Uh-huh!,"JOEY: Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again. And-and I promise, I won't touch a guitar until you say I'm ready. You really think I'm ready?",0,15,3,0,3,"deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
5,"LEONARD: Also instead of just living in your mother's house, you could actually live inside her body.","SHELDON: Wrong. Leonard? | LEONARD: Horse, but mostly just for the height. | LEONARD: A little bit for the genital girth. | SHELDON: Wrong, and let's keep it clean, shall we? | HOWARD: Kangaroo, uh, I'd be Kanga-Jew. | HOWARD: The first of my people to dunk a basketball.",1,15,3,3,0,"xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
6,PENNY: I hope I'm a waitress at the Cheesecake Factory for my whole life.,"SHELDON: Ask me why. | LEONARD: Do I have to? | SHELDON: Of course. That's how you move a conversation forward. | LEONARD: Why? | SHELDON: The learning opportunities would be abundant. | SHELDON: Additionally, I like having my belly scratched.",1,15,3,3,0,"xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
22,"ROSS: He's right, even if it's to say something complementary.","ROSS: Oh. | PHOEBE: Please, right now, no, every time I see him it's like  'Is it on the lose?'  'Is it watching me?' | CHANDLER: We can't tell him, you can't go up to a guy you barely know and talk about his.... stuff.",0,14,4,0,4,"deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
